School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
A M YEALEY ELEMENTARY SCHOOL,Kentucky,KY ,2.10051E+11,Boone County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,587,39,15.05,Prekindergarten,5th Grade,Elementary
A MACARTHUR BARR MIDDLE SCHOOL,New York,NY ,3.62019E+11,NANUET UNION FREE SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,391,48.5,8.06,7th Grade,8th Grade,Middle
A MACARTHUR BARR MIDDLE SCHOOL 5-6 ACADEMY FOR EXCELLENCE,NEW YORK,NY ,3.62019E+11,NANUET UNION FREE SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,340,‡,†,5th Grade,6th Grade,Middle
A N RICO EL,Texas,TX ,4.84496E+11,WESLACO ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,792,46.96,16.87,Prekindergarten,5th Grade,Elementary
A NEIL DEATLEY CAREER TECHNICAL EDUCATION CENTER,IDAHO,ID ,1.60186E+11,LEWISTON INDEPENDENT DISTRICT,3-Vocational school,2-No,2-No,1-Yes,13-City: Small,0,2,0.00,9th Grade,12th Grade,High
A O MARSHALL ELEM SCHOOL,Illinois,IL ,1.72058E+11,Joliet PSD 86,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,425,29.25,14.53,Kindergarten,5th Grade,Elementary
A P BEUTEL EL,Texas,TX ,4.81119E+11,BRAZOSPORT ISD,1-Regular school,2-No,2-No,–,23-Suburb: Small,665,42.51,15.64,Prekindergarten,4th Grade,Elementary
A P SOLIS MIDDLE,TEXAS,TX ,4.81739E+11,DONNA ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,855,67.71,12.63,6th Grade,8th Grade,Middle
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,New York,NY ,3.60008E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,1-Regular school,2-No,2-No,2-No,11-City: Large,1444,91.48,15.78,9th Grade,12th Grade,High
A PLACE TO GROW,California,CA ,062827013394,Ojai Unified,1-Regular school,2-No,–,–,21-Suburb: Large,†,–,–,–,–,Not Reported
A T ALLEN ELEMENTARY,North Carolina,NC ,3.70053E+11,Cabarrus County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,824,56.68,14.54,Kindergarten,5th Grade,Elementary
A V CATO EL,Texas,TX ,4.81317E+11,CASTLEBERRY ISD,1-Regular school,2-No,2-No,–,11-City: Large,588,36.95,15.91,Prekindergarten,5th Grade,Elementary
A VITO MARTINEZ MIDDLE SCHOOL,Illinois,IL ,1.74007E+11,Valley View CUSD 365U,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,758,54.3,13.96,6th Grade,8th Grade,Middle
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,4.28001E+11,A W Beattie Career Center,3-Vocational school,2-No,2-No,1-Yes,21-Suburb: Large,0,31,0.00,9th Grade,12th Grade,High
A W JAMES ELEMENTARY SCHOOL,MISSISSIPPI,MS ,2.80019E+11,SUNFLOWER CTY CONS SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,264,18.07,14.61,Prekindergarten,5th Grade,Elementary
A W JOHNSON ELEMENTARY SCHOOL,Idaho,ID ,1.60108E+11,FIRTH DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,314,15.71,19.99,Prekindergarten,4th Grade,Elementary
A+ ACADEMY EL,Texas,TX ,4.8002E+11,A+ ACADEMY,1-Regular school,1-Yes,2-No,–,11-City: Large,762,47.12,16.17,Prekindergarten,6th Grade,Elementary
A+ ARTS ACADEMY,Ohio,OH ,3.90031E+11,A+ Arts Academy,1-Regular school,1-Yes,–,2-No,11-City: Large,637,28,22.75,Kindergarten,8th Grade,Elementary
A+ CHARTER SCHOOLS,ARIZONA,AZ ,040099803681,A+ Charter Schools (1000166),1-Regular school,1-Yes,†,†,32-Town: Distant,†,†,†,–,–,Not Reported
A+ CHILDREN'S ACADEMY,Ohio,OH ,3.90148E+11,A+ Children's Academy,1-Regular school,1-Yes,–,2-No,11-City: Large,119,9,13.22,Kindergarten,5th Grade,Elementary
A+ SECONDARY SCHOOL,TEXAS,TX ,4.8002E+11,A+ ACADEMY,1-Regular school,1-Yes,2-No,–,11-City: Large,637,43.11,14.78,7th Grade,12th Grade,High
A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,TEXAS,TX ,4.80145E+11,A+ UNLIMITED POTENTIAL,1-Regular school,1-Yes,2-No,–,11-City: Large,0,0.75,0.00,6th Grade,8th Grade,Middle
A+ UNLIMITED POTENTIAL - UNIVERSITY,TEXAS,TX ,4.80145E+11,A+ UNLIMITED POTENTIAL,1-Regular school,1-Yes,2-No,–,11-City: Large,136,3.9,34.87,6th Grade,8th Grade,Middle
A-3 MULTIAGENCY ADOLESCENT PROG,Washington,WA ,5.30825E+11,Spokane School District,1-Regular school,2-No,2-No,–,12-City: Mid-size,28,4,7,6th Grade,12th Grade,High
A-C CENTRAL ELEMENTARY SCHOOL,Illinois,IL ,1.70011E+11,A-C Central CUSD 262,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,165,12.2,13.52,Prekindergarten,4th Grade,Elementary
A-C CENTRAL HIGH SCHOOL,Illinois,IL ,1.70011E+11,A-C Central CUSD 262,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,123,14.16,8.69,9th Grade,12th Grade,High
A-C CENTRAL MIDDLE SCHOOL,Illinois,IL ,1.70011E+11,A-C Central CUSD 262,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,107,9.84,10.87,5th Grade,8th Grade,Middle
A-TECH HIGH SCHOOL,New York,NY ,3.60012E+11,NEW YORK CITY GEOGRAPHIC DISTRICT #14,3-Vocational school,2-No,2-No,2-No,11-City: Large,313,35.75,8.76,9th Grade,12th Grade,High
A. A. NELSON ELEMENTARY SCHOOL,Louisiana,LA ,2.20033E+11,Calcasieu Parish,1-Regular school,2-No,2-No,–,13-City: Small,809,45.98,17.59,Prekindergarten,5th Grade,Elementary
A. B. HILL ELEMENTARY,Tennessee,TN ,4.70015E+11,Shelby County,1-Regular school,2-No,2-No,2-No,11-City: Large,385,22.3,17.26,Prekindergarten,5th Grade,Elementary
A. BALDWIN MIDDLE SCHOOL,Connecticut,CT ,090180000328,Guilford School District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,472,40.6,11.63,5th Grade,6th Grade,Middle
A. C. CORCORAN ELEMENTARY,South Carolina,SC ,4.50144E+11,Charleston 01,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,781,48.9,15.97,Prekindergarten,5th Grade,Elementary
A. C. E.,Arizona,AZ ,040463000999,Marana Unified District (4404),1-Regular school,2-No,–,2-No,41-Rural: Fringe,7,–,†,7th Grade,12th Grade,High
A. C. FLORA HIGH,South Carolina,SC ,4.50336E+11,Richland 01,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1386,90,15.4,9th Grade,12th Grade,High
A. C. MOORE ELEMENTARY,South Carolina,SC ,4.50336E+11,Richland 01,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,258,26,9.92,Prekindergarten,5th Grade,Elementary
A. C. WHELAN ELEMENTARY SCHOOL,Massachusetts,MA ,2.51005E+11,Revere,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,752,53,14.19,Kindergarten,5th Grade,Elementary
A. CRAWFORD MOSLEY HIGH SCHOOL,Florida,FL ,1.20009E+11,BAY,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,1816,79.9,22.73,9th Grade,12th Grade,High
A. CROSBY KENNETT MIDDLE SCHOOL,New Hampshire,NH ,3.30249E+11,Conway School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,281,24.8,11.33,7th Grade,8th Grade,Middle
A. D. STOWELL ELEM.,Missouri,MO ,2.91365E+11,HANNIBAL 60,1-Regular school,2-No,2-No,2-No,33-Town: Remote,248,19.1,12.98,Kindergarten,5th Grade,Elementary
A. E. ARNOLD ELEMENTARY,California,CA ,061044001166,Cypress Elementary,1-Regular school,2-No,2-No,–,21-Suburb: Large,697,–,†,Kindergarten,6th Grade,Elementary
A. E. PHILLIPS LABORATORY SCHOOL,Louisiana,LA ,2.20006E+11,A.E. Phillips Laboratory School,1-Regular school,2-No,1-Yes,–,32-Town: Distant,410,18,22.78,Kindergarten,8th Grade,Elementary
A. G. A. P. E. TEEN PARENT,Minnesota,MN ,2.73384E+11,ST. PAUL PUBLIC SCHOOL DISTRICT,4-Alternative/other school,2-No,2-No,2-No,11-City: Large,67,9.4,7.13,5th Grade,12th Grade,High
A. G. COOK ELEMENTARY,California,CA ,061488001834,Garden Grove Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,373,–,†,Kindergarten,6th Grade,Elementary
A. G. CURRIE MIDDLE,California,CA ,064015006636,Tustin Unified,1-Regular school,2-No,2-No,–,13-City: Small,590,–,†,6th Grade,8th Grade,Middle
A. HENDERSON ELEM,Virginia,VA ,5.10313E+11,PRINCE WILLIAM CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,804,45,17.87,Prekindergarten,5th Grade,Elementary
A. I. PRINCE TECHNICAL HIGH SCHOOL,Connecticut,CT ,090000201136,Connecticut Technical Education and Career System,3-Vocational school,2-No,2-No,2-No,12-City: Mid-size,716,84.8,8.44,9th Grade,12th Grade,High
A. I. ROOT MIDDLE SCHOOL,Ohio,OH ,3.90444E+11,Medina City SD,1-Regular school,2-No,–,2-No,21-Suburb: Large,804,40.81,19.7,6th Grade,8th Grade,Middle
A. IRVIN STUDLEY ELEMENTARY SCHOOL,Massachusetts,MA ,2.50219E+11,Attleboro,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,379,29.49,12.85,Kindergarten,4th Grade,Elementary
A. J. DORSA ELEMENTARY,California,CA ,060231000103,Alum Rock Union Elementary,1-Regular school,2-No,2-No,–,11-City: Large,351,–,†,Kindergarten,5th Grade,Elementary
A. J. LEWIS GREENVIEW ELEMENTARY,South Carolina,SC ,4.50336E+11,Richland 01,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,353,30,11.77,Prekindergarten,5th Grade,Elementary
A. J. MARTIN ELEM.,Missouri,MO ,2.91122E+11,EAST PRAIRIE R-II,1-Regular school,2-No,2-No,2-No,32-Town: Distant,341,25.13,13.57,3rd Grade,6th Grade,Elementary
A. K. SUTER ELEMENTARY SCHOOL,Florida,FL ,1.20051E+11,ESCAMBIA,1-Regular school,2-No,2-No,2-No,13-City: Small,573,37.6,15.24,Prekindergarten,5th Grade,Elementary
A. L. CONNER ELEMENTARY,California,CA ,061970010780,Kings Canyon Joint Unified,1-Regular school,2-No,2-No,–,32-Town: Distant,328,–,†,Kindergarten,5th Grade,Elementary
A. L. CORBETT MIDDLE,SOUTH CAROLINA,SC ,4.50072E+11,Aiken 01,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,184,13,14.15,6th Grade,8th Grade,Middle
A. L. MEBANE MIDDLE SCHOOL,Florida,FL ,1.20003E+11,ALACHUA,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,375,16.5,22.73,6th Grade,8th Grade,Middle
A. LINWOOD HOLTON GOV. SCH.,Virginia,VA ,5.10003E+11,A. LINWOOD HOLTON GOV SCH,1-Regular school,2-No,1-Yes,1-Yes,23-Suburb: Small,0,–,†,Ungraded,Ungraded,Ungraded
A. M. THOMAS MIDDLE,California,CA ,062295007772,Lost Hills Union Elementary,1-Regular school,2-No,2-No,–,42-Rural: Distant,110,–,†,6th Grade,8th Grade,Middle
A. M. WINN WALDORF-INSPIRED,California,CA ,063384005217,Sacramento City Unified,1-Regular school,2-No,2-No,–,13-City: Small,383,–,†,Kindergarten,8th Grade,Elementary
A. MACEO WALKER MIDDLE,Tennessee,TN ,4.70015E+11,Shelby County,1-Regular school,2-No,2-No,2-No,11-City: Large,822,34.2,24.04,6th Grade,8th Grade,Middle
A. MARIO LOIEDERMAN MIDDLE,Maryland,MD ,2.40048E+11,Montgomery County Public Schools,1-Regular school,2-No,1-Yes,2-No,21-Suburb: Large,999,72.4,13.8,6th Grade,8th Grade,Middle
A. MONTOYA ELEMENTARY,New Mexico,NM ,3.50006E+11,ALBUQUERQUE PUBLIC SCHOOLS,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,496,32.6,15.21,Prekindergarten,5th Grade,Elementary
A. PHILIP RANDOLPH ACADEMIES,Florida,FL ,1.20048E+11,DUVAL,1-Regular school,2-No,1-Yes,2-No,11-City: Large,472,28,16.86,8th Grade,12th Grade,High
A. R. RUCKER MIDDLE,South Carolina,SC ,4.50258E+11,Lancaster 01,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,559,33,16.94,6th Grade,8th Grade,Middle
A. R. WARE ELEM,Virginia,VA ,5.10369E+11,STAUNTON CITY PBLC SCHS,1-Regular school,2-No,2-No,2-No,13-City: Small,425,26.75,15.89,Kindergarten,5th Grade,Elementary
A. RUSSELL KNIGHT ELEMENTARY SCHOOL,New Jersey,NJ ,3.403E+11,Cherry Hill School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,385,28,13.75,Kindergarten,5th Grade,Elementary
A. T. ALLISON ELEMENTARY SCHOOL,West Virginia,WV ,5.40045E+11,HANCOCK COUNTY SCHOOLS,1-Regular school,†,2-No,2-No,31-Town: Fringe,406,33,12.3,Prekindergarten,4th Grade,Elementary
A. W. COX SCHOOL,Connecticut,CT ,090180000329,Guilford School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,252,21.85,11.53,Kindergarten,4th Grade,Elementary
A. W. WATSON UPPER ELEMENTARY,Mississippi,MS ,2.80102E+11,CLAIBORNE CO SCHOOL DIST,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,752,37.68,19.96,Prekindergarten,6th Grade,Elementary
A. WARD SPAULDING SCHOOL,Connecticut,CT ,090447000903,Suffield School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,454,33,13.76,Prekindergarten,2nd Grade,Elementary
A. Z. KELLEY ELEMENTARY,Tennessee,TN ,4.70318E+11,Davidson County,1-Regular school,2-No,2-No,2-No,11-City: Large,861,57,15.11,Prekindergarten,4th Grade,Elementary
A.B. SKANE CENTER,Connecticut,CT ,090045000085,Bridgeport School District,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,210,19,11.05,Prekindergarten,Prekindergarten,Prekindergarten
A.C. ALEXANDER ELEMENTARY SCHOOL,Louisiana,LA ,2.20084E+11,Jefferson Parish,1-Regular school,2-No,2-No,–,21-Suburb: Large,623,28.2,22.09,Prekindergarten,8th Grade,Elementary
A.C. STEERE ELEMENTARY SCHOOL,Louisiana,LA ,2.2003E+11,Caddo Parish,1-Regular school,2-No,2-No,–,12-City: Mid-size,453,24.11,18.79,Prekindergarten,5th Grade,Elementary
A.C.E. ACADEMY,North Carolina,NC ,3.70037E+11,A.C.E. Academy,1-Regular school,1-Yes,2-No,2-No,22-Suburb: Mid-size,402,26.52,15.16,Kindergarten,8th Grade,Elementary
A.C.G.C. ELEMENTARY,Minnesota,MN ,2.70011E+11,A.C.G.C. Public School District,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,332,31.69,10.48,Prekindergarten,4th Grade,Elementary
A.C.G.C. SECONDARY,Minnesota,MN ,2.70011E+11,A.C.G.C. Public School District,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,401,20.14,19.91,7th Grade,12th Grade,High
A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,Florida,FL ,1.20201E+11,FAU LAB SCH,1-Regular school,2-No,2-No,2-No,13-City: Small,1205,43,28.02,Kindergarten,12th Grade,Other
A.E. BURLING HIGH SCHOOL,NEW JERSEY,NJ ,3.41287E+11,Pennsauken Township Board of Education School District,4-Alternative/other school,2-No,†,2-No,21-Suburb: Large,51,7,7.29,6th Grade,12th Grade,High
A.E.R.O-CONNECT PROG-SATELLITE,ILLINOIS,IL ,1.70002E+11,A E R O  Spec Educ Coop,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,†,7,–,–,–,Not Reported
A.E.R.O-FUNCTIONAL ACAD LEARNING-,ILLINOIS,IL ,1.70002E+11,A E R O  Spec Educ Coop,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,†,7,–,–,–,Not Reported
A.E.R.O-STAR (AUTISM)-SATELLITE,ILLINOIS,IL ,1.70002E+11,A E R O  Spec Educ Coop,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,†,9,–,–,–,Not Reported
A.E.R.O. EC PROGRAM-SATELLITE,ILLINOIS,IL ,1.70002E+11,A E R O  Spec Educ Coop,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,0,–,†,Prekindergarten,Prekindergarten,Prekindergarten
A.E.R.O.-COMM. DEVELOP.-SATELLITE,ILLINOIS,IL ,1.70002E+11,A E R O  Spec Educ Coop,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,†,2,–,–,–,Not Reported
A.I. JEDLICKA MIDDLE SCHOOL,Minnesota,MN ,2.73009E+11,PROCTOR PUBLIC SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,456,25.99,17.55,6th Grade,8th Grade,Middle
A.J. WHITTENBURG ELEMENTARY,South Carolina,SC ,4.50231E+11,Greenville 01,1-Regular school,2-No,2-No,2-No,13-City: Small,514,33.2,15.48,Prekindergarten,5th Grade,Elementary
A.L. BURRUSS ELEMENTARY SCHOOL,Georgia,GA ,1.30351E+11,Marietta City,1-Regular school,2-No,2-No,2-No,13-City: Small,426,36.5,11.67,Prekindergarten,5th Grade,Elementary
A.P. MORRIS EARLY CHILDHOOD CENTER,New Jersey,NJ ,3.40729E+11,Hillside Public School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,661,58,11.4,Prekindergarten,1st Grade,Elementary
A.QUINN JONES CENTER,Florida,FL ,1.20003E+11,ALACHUA,4-Alternative/other school,2-No,2-No,2-No,12-City: Mid-size,73,14.35,5.09,6th Grade,12th Grade,High
A.S. RHODES ELEM,Virginia,VA ,5.10387E+11,WARREN CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,254,15.65,16.23,Kindergarten,5th Grade,Elementary
A.W.E. BASSETTE ELEM,Virginia,VA ,5.1018E+11,HAMPTON CITY PBLC SCHS,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,471,27,17.44,Prekindergarten,5th Grade,Elementary
A/O PROGRAM,Minnesota,MN ,2.70226E+11,NORTHEAST METRO 916,2-Special education school,2-No,2-No,2-No,21-Suburb: Large,6,1.4,4.29,Prekindergarten,1st Grade,Elementary
AA RATHER SCHOOL,Michigan,MI ,2.61925E+11,Ionia Public Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,331,16.2,20.43,Prekindergarten,5th Grade,Elementary
AAEC - PARADISE VALLEY,Arizona,AZ ,040010601892,Arizona Agribusiness & Equine Center Inc. (4331),1-Regular school,1-Yes,–,2-No,11-City: Large,308,–,†,9th Grade,12th Grade,High
AAEC - SMCC CAMPUS,Arizona,AZ ,040041701588,Arizona Agribusiness & Equine Center Inc. (85816),1-Regular school,1-Yes,–,2-No,11-City: Large,507,–,†,9th Grade,12th Grade,High
AARON COHN MIDDLE SCHOOL,Georgia,GA ,1.30387E+11,Muscogee County,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,569,35,16.26,6th Grade,8th Grade,Middle
AARON COHN REGIONAL YOUTH DETENTION CENTER,Georgia,GA ,1.30003E+11,Department of Juvenile Justice,4-Alternative/other school,2-No,2-No,2-No,41-Rural: Fringe,18,–,†,7th Grade,10th Grade,Secondary
AARON DECKER SCHOOL,New Jersey,NJ ,3.40252E+11,Butler Public School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,372,37.46,9.93,Prekindergarten,4th Grade,Elementary
AARON PARKER EL,Texas,TX ,4.83301E+11,NORTH LAMAR ISD,1-Regular school,2-No,2-No,–,42-Rural: Distant,244,19.54,12.49,Prekindergarten,5th Grade,Elementary
AB HARRISON INT,Texas,TX ,4.84653E+11,WYLIE ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,900,59.27,15.18,5th Grade,6th Grade,Middle
ABBETT EL,Texas,TX ,4.82034E+11,GARLAND ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,732,43.65,16.77,Prekindergarten,5th Grade,Elementary
ABBEVILLE COUNTY CAREER CENTER,South Carolina,SC ,4.50069E+11,Abbeville 60,3-Vocational school,2-No,2-No,1-Yes,41-Rural: Fringe,0,9,0.00,10th Grade,12th Grade,High
ABBEVILLE ELEMENTARY SCHOOL,Alabama,AL ,010174000602,Henry County,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,400,24,16.67,Prekindergarten,6th Grade,Elementary
ABBEVILLE HIGH,South Carolina,SC ,4.50069E+11,Abbeville 60,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,451,35,12.89,9th Grade,12th Grade,High
ABBEVILLE HIGH SCHOOL,Alabama,AL ,010174000600,Henry County,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,340,21,16.19,7th Grade,12th Grade,High
ABBEVILLE HIGH SCHOOL,Louisiana,LA ,2.2018E+11,Vermilion Parish,1-Regular school,2-No,2-No,–,31-Town: Fringe,607,36.76,16.51,9th Grade,12th Grade,High
ABBEY LANE SCHOOL,New York,NY ,3.61716E+11,LEVITTOWN UNION FREE SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,625,49,12.76,Kindergarten,5th Grade,Elementary
ABBOT ELEMENTARY,Massachusetts,MA ,2.51266E+11,Westford,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,370,27.4,13.5,3rd Grade,5th Grade,Elementary
ABBOT SCHOOL,Michigan,MI ,2.60282E+11,Ann Arbor Public Schools,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,295,22.1,13.35,Kindergarten,5th Grade,Elementary
ABBOT-DOWNING SCHOOL,New Hampshire,NH ,3.30246E+11,Concord School District,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,343,25.1,13.67,Kindergarten,5th Grade,Elementary
ABBOTSFORD ELEMENTARY,Wisconsin,WI ,5.50003E+11,Abbotsford School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,363,30.83,11.77,Prekindergarten,5th Grade,Elementary
ABBOTSFORD MIDDLE/SENIOR HIGH,Wisconsin,WI ,5.50003E+11,Abbotsford School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,382,29,13.17,6th Grade,12th Grade,High
ABBOTT HOUSE ELEMENTARY - 06,South Dakota,SD ,4.64839E+11,Mitchell School District 17-2,1-Regular school,†,†,2-No,33-Town: Remote,12,2,6,Kindergarten,8th Grade,Elementary
ABBOTT HOUSE HIGH SCHOOL - 07,South Dakota,SD ,4.64839E+11,Mitchell School District 17-2,1-Regular school,†,†,2-No,33-Town: Remote,19,1,19,9th Grade,12th Grade,High
ABBOTT LOOP ELEMENTARY,Alaska,AK ,020018000053,Anchorage School District,1-Regular school,2-No,2-No,2-No,11-City: Large,326,21.08,15.46,Prekindergarten,6th Grade,Elementary
ABBOTT MEMORIAL,Massachusetts,MA ,2.50492E+11,Florida,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,95,10.8,8.8,Prekindergarten,8th Grade,Elementary
ABBOTT MIDDLE,California,CA ,063492005896,San Mateo-Foster City,1-Regular school,2-No,1-Yes,–,12-City: Mid-size,797,–,†,6th Grade,8th Grade,Middle
ABBOTT MIDDLE SCHOOL,Illinois,IL ,1.71371E+11,SD U-46,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,666,46.19,14.42,7th Grade,8th Grade,Middle
ABBOTT MIDDLE SCHOOL,Michigan,MI ,2.63582E+11,West Bloomfield School District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,645,35.53,18.15,6th Grade,8th Grade,Middle
ABBOTT SCHOOL,Texas,TX ,4.80738E+11,ABBOTT ISD,1-Regular school,2-No,2-No,–,42-Rural: Distant,288,24.25,11.88,Prekindergarten,12th Grade,Other
ABBOTT SCHOOL,New York,NY ,3.6023E+11,ABBOTT UNION FREE SCHOOL DISTRICT,2-Special education school,2-No,†,†,21-Suburb: Large,†,†,†,–,–,Not Reported
ABBOTTS CREEK ELEMENTARY,North Carolina,NC ,3.70472E+11,Wake County Schools,1-Regular school,2-No,2-No,2-No,11-City: Large,897,56.6,15.85,Prekindergarten,5th Grade,Elementary
ABBOTTS HILL ELEMENTARY SCHOOL,Georgia,GA ,1.30228E+11,Fulton County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,632,40.8,15.49,Prekindergarten,5th Grade,Elementary
ABBOTTSTON ELEMENTARY,Maryland,MD ,2.40009E+11,Baltimore City Public Schools,1-Regular school,2-No,2-No,2-No,11-City: Large,409,23,17.78,Prekindergarten,5th Grade,Elementary
ABBS VALLEY-BOISSEVAIN ELEM,Virginia,VA ,5.10381E+11,TAZEWELL CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,166,9.5,17.47,Prekindergarten,5th Grade,Elementary
ABBY KELLEY FOSTER CHARTER PUBLIC SCHOOL,Massachusetts,MA ,2.50005E+11,Abby Kelley Foster Charter Public (District),1-Regular school,1-Yes,2-No,2-No,12-City: Mid-size,1425,117.15,12.16,Kindergarten,12th Grade,Other
ABBY REINKE ELEMENTARY,California,CA ,060002808271,Temecula Valley Unified,1-Regular school,2-No,2-No,–,12-City: Mid-size,745,–,†,Kindergarten,5th Grade,Elementary
ABC ELEMENTARY,Alabama,AL ,010351001342,Wilcox County,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,111,8,13.88,Prekindergarten,6th Grade,Elementary
ABC SECONDARY (ALTERNATIVE),California,CA ,060162010232,ABC Unified,4-Alternative/other school,2-No,2-No,–,21-Suburb: Large,71,–,†,7th Grade,12th Grade,High
ABE DIPLOMA PROGRAM,Minnesota,MN ,2.73239E+11,ROSEMOUNT-APPLE VALLEY-EAGAN,4-Alternative/other school,2-No,2-No,1-Yes,21-Suburb: Large,36,0.00,†,8th Grade,12th Grade,High
ABE HUBERT ELEMENTARY SCHOOL,Kansas,KS ,2.00639E+11,Garden City,1-Regular school,2-No,2-No,–,33-Town: Remote,381,27.8,13.71,Kindergarten,6th Grade,Elementary
ABE LINCOLN ELEM SCHOOL,Illinois,IL ,1.7102E+11,Cicero SD 99,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,896,58.94,15.2,Prekindergarten,6th Grade,Elementary
ABELL J H,Texas,TX ,4.83057E+11,MIDLAND ISD,1-Regular school,2-No,2-No,–,12-City: Mid-size,1095,63.45,17.26,7th Grade,8th Grade,Middle
ABERDEEN ACADEMY,Michigan,MI ,2.61644E+11,Grand Rapids Public Schools,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,205,13.3,15.41,Prekindergarten,8th Grade,Elementary
ABERDEEN ELEM,Virginia,VA ,5.1018E+11,HAMPTON CITY PBLC SCHS,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,475,29,16.38,Prekindergarten,5th Grade,Elementary
